,Aqueous species id,Compound name,Charge,ΔfG° (kJ/mol),ΔfH° (kJ/mol),ΔfS° (kJ/K/mol),Cp° (kJ/K/mol),compound_id,dgf_obs
83,CHB_63528_-2,dTMP,-2,-1466.383216,-2022.5790720000002,-1.8655822800000001,0.18012119999999998,CHB_63528,-1466.383216
84,CHB_17622_-2,dUMP,-2,-1459.7683120000002,-1979.140784,-1.742049,0.11447424,CHB_17622,-1459.7683120000002
85,CHB_17361_-2,CMP,-2,-1385.309848,-1955.85264,-1.91369534,0.15777864,CHB_17361,-1385.309848
86,CHB_15978_-2,sn-glycerol 3-phosphate,-2,-1358.96,-1724.59,-1.226329029,,CHB_15978,-1358.96
87,CHS_8149841_-2,nicotinamide mononucleotide(reduced),-2,-1323.09,-1919.06,-1.999027,0.1191,CHS_8149841,-1323.09
88,CHB_18021_-2,phosphoenolpyruvate,-2,-1303.61,-1619.58,-1.0597685730000002,,CHB_18021,-1303.61
89,CHB_17345_-2,guanosine 5 '-phosphate,-2,-1282.337424,-1906.5483840000002,-2.09368074,0.27534904,CHB_17345,-1282.337424
90,CHB_17202_-2,IMP,-2,-1255.42,-1834.71,-1.9429481800000001,,CHB_17202,-1255.42
91,CHB_15918_-2,dCMP,-2,-1243.77768,-1779.6811360000002,-1.7932955,0.11769592,CHB_15918,-1243.77768
92,CHB_30769_-2,citrate,-2,-1198.3687280000001,-1518.5702480000002,-1.07398344,0.38107872000000004,CHB_30769,-1198.3687280000001
93,CHB_16192_-2,dGMP,-2,-1139.960088,-1745.112928,-2.0297649,0.23601944,CHB_16192,-1139.960088
94,CHB_26078_-2,orthophospate,-2,-1096.1,-1299.0,-0.6805299345966795,-0.24250464,CHB_26078,-1096.1
95,CHB_16027_-2,AMP,-2,-1035.192728,-1628.195232,-1.98901274,0.25806912,CHB_16027,-1035.192728
96,CHB_17713_-2,dAMP,-2,-887.472424,-1452.709904,-1.89589258,0.22183568000000004,CHB_17713,-887.472424
97,CHB_16810_-2,2-oxoglutarate,-2,-793.41,-1044.06,-0.840684219,,CHB_16810,-793.41
98,CHB_30744_-2,keto-oxaloacetate,-2,-793.29,-959.9,-0.558812678,,CHB_30744,-793.29
99,CHB_16189_-2,sulfate,-2,-744.45912,-909.6016000000001,-0.5542099999839012,-0.26936592000000004,CHB_16189,-744.45912
100,CHB_30031_-2,succinate,-2,-687.76592,-909.3924000000001,-0.743716,-0.211292,CHB_30031,-687.76592
101,CHB_30794_-2,malonic acid,-2,-685.1718400000001,-874.456,-0.6353288,-0.27363360000000003,CHB_30794,-685.1718400000001
102,CHB_17859_-2,glutaric acid,-2,-683.95848,-937.8017600000001,-0.8521032000000001,-0.16610480000000002,CHB_17859,-683.95848
103,CHB_16995_-2,oxalate-2,-2,-674.0424,-825.0848000000001,-0.506864,-0.3066872,CHB_16995,-674.0424
104,CHB_30832_-2,H-adipate-,-2,-666.88776,-953.03152,-0.9604904000000001,-0.0991608,CHB_30832,-666.88776
105,CHB_30531_-2,H-pimelate-,-2,-664.67024,-983.07264,-1.0688776,-0.0242672,CHB_30531,-664.67024
106,CHB_9300_-2,suberic acid,-2,-648.3944799999999,-999.05552,-1.1772648,0.07865920000000001,CHB_9300,-648.3944799999999
107,CHB_48131_-2,azelaic acid,-2,-628.1439200000001,-1011.10544,-1.285652,0.16736,CHB_48131,-628.1439200000001
108,CHB_41865_-2,sebacic acid,-2,-617.72576,-1032.9459200000001,-1.3940392,0.25606080000000003,CHB_41865,-617.72576
109,CHB_29806_-2,fumarate,-2,-601.87,-777.39,-0.588696965,,CHB_29806,-601.87
110,CHB_17544_-2,bicarbonate,-2,-527.81,-677.14,-0.5008552741908435,-0.290788,CHB_17544,-527.81
112,CHB_16298_-2,D-mannitol-1-phosphate,-2,-1793.58,,,,CHB_16298,-1793.58
113,CHB_17044_-2,D-sorbitol 6-phosphate,-2,-1793.1,,,,CHB_17044,-1793.1
114,CHB_16077_-2,glucose 1-phosphate,-2,-1756.87,,,,CHB_16077,-1756.87
115,CHB_4141_-2,D-galactose 6-phosphate,-2,-1756.81,,,,CHB_4141,-1756.81
116,CHB_37480_-2,D-galactose 1-phosphate,-2,-1756.69,,,,CHB_37480,-1756.69
117,CHB_35374_-2,D-mannose 1-phosphate,-2,-1754.56,,,,CHB_35374,-1754.56
118,CHB_16938_-2,"D-glucono-1,5-lactone 6-phosphate",-2,-1746.08,,,,CHB_16938,-1746.08
119,CHB_86279_-2,D-arabinose 5-phosphate,-2,-1598.34,,,,CHB_86279,-1598.34
120,CHB_17363_-2,D-ribulose 5-phosphate,-2,-1595.32,,,,CHB_17363,-1595.32
121,CHB_17709_-2,adenylyl sulfate,-2,-1541.98,,,,CHB_17709,-1541.98
122,CHB_17835_-2,2-phospho-D-glycerate,-2,-1539.99,,,,CHB_17835,-1539.99
123,MAN_10201_-2,2-deoxy-D-ribose 5-phosphate,-2,-1447.92,,,,MAN_10201,-1447.92
124,CHB_11563_-2,2-deoxy--D-ribose 1-phosphate,-2,-1439.84,,,,CHB_11563,-1439.84
125,CHB_15811_-2,O-phospho-L-serine,-2,-1360.75,,,,CHB_15811,-1360.75
126,CHB_16108_-2,glycerone phosphate,-2,-1296.26,,,,CHB_16108,-1296.26
127,CHB_29052_-2,D-glyceraldehyde-3-phosphate,-2,-1288.6,,,,CHB_29052,-1288.6
